t,x,rk_e
0.00000,100.00000,0.00000
0.00810,99.27336,-0.00004
0.01620,98.55200,-0.00004
0.02430,97.83588,-0.00004
0.03240,97.12497,-0.00004
0.04050,96.41922,-0.00004
0.04860,95.71860,-0.00004
0.05670,95.02308,-0.00004
0.06480,94.33260,-0.00004
0.07290,93.64714,-0.00004
0.08100,92.96667,-0.00004
0.08910,92.29114,-0.00004
0.09720,91.62051,-0.00004
0.10530,90.95476,-0.00004
0.11340,90.29385,-0.00004
0.12150,89.63774,-0.00004
0.12960,88.98640,-0.00004
0.13770,88.33979,-0.00004
0.14670,87.62681,-0.00005
0.15570,86.91959,-0.00004
0.16470,86.21808,-0.00004
0.17370,85.52222,-0.00004
0.18270,84.83199,-0.00004
0.19170,84.14732,-0.00004
0.20070,83.46818,-0.00004
0.20970,82.79452,-0.00004
0.21870,82.12630,-0.00004
0.22770,81.46347,-0.00004
0.23670,80.80599,-0.00004
0.24570,80.15382,-0.00004
0.25470,79.50691,-0.00004
0.26370,78.86522,-0.00004
0.27270,78.22871,-0.00004
0.28170,77.59734,-0.00004
0.29070,76.97106,-0.00004
0.29970,76.34984,-0.00004
0.30870,75.73363,-0.00004
0.31770,75.12240,-0.00004
0.32670,74.51609,-0.00004
0.33570,73.91469,-0.00004
0.34470,73.31813,-0.00004
0.35370,72.72639,-0.00004
0.36270,72.13943,-0.00004
0.37170,71.55720,-0.00004
0.38170,70.91576,-0.00005
0.39170,70.28007,-0.00004
0.40170,69.65008,-0.00004
0.41170,69.02573,-0.00004
0.42170,68.40699,-0.00004
0.43170,67.79378,-0.00004
0.44170,67.18608,-0.00004
0.45170,66.58382,-0.00004
0.46170,65.98696,-0.00004
0.47170,65.39545,-0.00004
0.48170,64.80925,-0.00004
0.49170,64.22830,-0.00004
0.50170,63.65255,-0.00004
0.51170,63.08197,-0.00004
0.52170,62.51650,-0.00004
0.53170,61.95610,-0.00004
0.54170,61.40072,-0.00004
0.55170,60.85033,-0.00004
0.56170,60.30486,-0.00004
0.57170,59.76429,-0.00004
0.58170,59.22856,-0.00004
0.59170,58.69763,-0.00004
0.60170,58.17147,-0.00004
0.61281,57.59234,-0.00005
0.62392,57.01897,-0.00004
0.63503,56.45131,-0.00004
0.64614,55.88931,-0.00004
0.65725,55.33289,-0.00004
0.66836,54.78202,-0.00004
0.67947,54.23663,-0.00004
0.69058,53.69668,-0.00004
0.70170,53.16209,-0.00004
0.71281,52.63283,-0.00004
0.72392,52.10884,-0.00004
0.73503,51.59007,-0.00004
0.74614,51.07646,-0.00004
0.75725,50.56796,-0.00004
0.76836,50.06453,-0.00004
0.77947,49.56610,-0.00004
0.79058,49.07264,-0.00004
0.80170,48.58410,-0.00004
0.81281,48.10041,-0.00004
0.82392,47.62154,-0.00004
0.83503,47.14744,-0.00004
0.84737,46.62617,-0.00005
0.85972,46.11065,-0.00004
0.87207,45.60084,-0.00004
0.88441,45.09666,-0.00004
0.89676,44.59806,-0.00004
0.90910,44.10497,-0.00004
0.92145,43.61733,-0.00004
0.93379,43.13508,-0.00004
0.94614,42.65817,-0.00004
0.95849,42.18653,-0.00004
0.97083,41.72010,-0.00004
0.98318,41.25883,-0.00004
0.99552,40.80266,-0.00004
1.00787,40.35153,-0.00004
1.02021,39.90539,-0.00004
1.03256,39.46418,-0.00004
1.04491,39.02786,-0.00004
1.05725,38.59635,-0.00004
1.06960,38.16962,-0.00004
1.08331,37.70097,-0.00005
1.09703,37.23807,-0.00004
1.11075,36.78086,-0.00004
1.12447,36.32927,-0.00004
1.13818,35.88321,-0.00004
1.15190,35.44264,-0.00004
1.16562,35.00747,-0.00004
1.17934,34.57765,-0.00004
1.19305,34.15310,-0.00004
1.20677,33.73377,-0.00004
1.22049,33.31958,-0.00004
1.23421,32.91048,-0.00004
1.24792,32.50641,-0.00004
1.26164,32.10729,-0.00004
1.27536,31.71307,-0.00004
1.28908,31.32370,-0.00004
1.30279,30.93911,-0.00004
1.31803,30.51728,-0.00005
1.33328,30.10121,-0.00004
1.34852,29.69081,-0.00004
1.36376,29.28601,-0.00004
1.37900,28.88672,-0.00004
1.39424,28.49288,-0.00004
1.40948,28.10441,-0.00004
1.42473,27.72124,-0.00004
1.43997,27.34329,-0.00004
1.45521,26.97049,-0.00004
1.47045,26.60277,-0.00004
1.48569,26.24007,-0.00004
1.50093,25.88232,-0.00004
1.51618,25.52944,-0.00004
1.53142,25.18137,-0.00004
1.54666,24.83805,-0.00004
1.56359,24.46203,-0.00004
1.58053,24.09171,-0.00004
1.59746,23.72700,-0.00004
1.61440,23.36780,-0.00004
1.63133,23.01405,-0.00004
1.64827,22.66565,-0.00004
1.66520,22.32252,-0.00004
1.68214,21.98459,-0.00004
1.69907,21.65177,-0.00004
1.71601,21.32399,-0.00004
1.73294,21.00118,-0.00004
1.74988,20.68325,-0.00004
1.76681,20.37014,-0.00004
1.78563,20.02775,-0.00005
1.80445,19.69113,-0.00004
1.82326,19.36016,-0.00004
1.84208,19.03475,-0.00004
1.86090,18.71481,-0.00004
1.87971,18.40025,-0.00004
1.89853,18.09098,-0.00004
1.91735,17.78691,-0.00004
1.93617,17.48795,-0.00004
1.95498,17.19401,-0.00004
1.97380,16.90501,-0.00004
1.99262,16.62087,-0.00004
2.01143,16.34151,-0.00004
2.03234,16.03657,-0.00004
2.05325,15.73733,-0.00004
2.07415,15.44367,-0.00004
2.09506,15.15549,-0.00004
2.11597,14.87269,-0.00004
2.13688,14.59517,-0.00004
2.15778,14.32282,-0.00004
2.17869,14.05556,-0.00004
2.19960,13.79328,-0.00004
2.22051,13.53590,-0.00004
2.24141,13.28332,-0.00004
2.26465,13.00817,-0.00005
2.28788,12.73871,-0.00004
2.31111,12.47484,-0.00004
2.33434,12.21644,-0.00004
2.35757,11.96338,-0.00004
2.38080,11.71557,-0.00004
2.40403,11.47290,-0.00004
2.42726,11.23525,-0.00004
2.45049,11.00252,-0.00004
2.47372,10.77461,-0.00004
2.49953,10.52688,-0.00005
2.52534,10.28485,-0.00004
2.55116,10.04838,-0.00004
2.57697,9.81735,-0.00004
2.60278,9.59162,-0.00004
2.62859,9.37109,-0.00004
2.65440,9.15563,-0.00004
2.68021,8.94513,-0.00004
2.70603,8.73946,-0.00004
2.73471,8.51645,-0.00005
2.76339,8.29914,-0.00004
2.79207,8.08736,-0.00004
2.82075,7.88099,-0.00004
2.84942,7.67989,-0.00004
2.87810,7.48392,-0.00004
2.90678,7.29295,-0.00004
2.93546,7.10685,-0.00004
2.96733,6.90561,-0.00005
2.99920,6.71006,-0.00004
3.03106,6.52006,-0.00004
3.06293,6.33543,-0.00004
3.09480,6.15603,-0.00004
3.12666,5.98171,-0.00004
3.15853,5.81233,-0.00004
3.19039,5.64775,-0.00004
3.22580,5.47030,-0.00004
3.26121,5.29843,-0.00004
3.29662,5.13196,-0.00004
3.33202,4.97072,-0.00004
3.36743,4.81455,-0.00004
3.40284,4.66328,-0.00004
3.44218,4.50074,-0.00005
3.48152,4.34387,-0.00004
3.52086,4.19246,-0.00004
3.56020,4.04634,-0.00004
3.59954,3.90530,-0.00004
3.63888,3.76918,-0.00004
3.68260,3.62346,-0.00004
3.72631,3.48338,-0.00004
3.77002,3.34871,-0.00004
3.81373,3.21925,-0.00004
3.85745,3.09479,-0.00004
3.90116,2.97514,-0.00004
3.94973,2.84759,-0.00004
3.99830,2.72550,-0.00004
4.04687,2.60865,-0.00004
4.09544,2.49681,-0.00004
4.14940,2.37813,-0.00005
4.20337,2.26508,-0.00004
4.25733,2.15741,-0.00004
4.31130,2.05486,-0.00004
4.36527,1.95718,-0.00004
4.42523,1.85406,-0.00004
4.48519,1.75636,-0.00004
4.54515,1.66382,-0.00004
4.60511,1.57615,-0.00004
4.67174,1.48412,-0.00004
4.73836,1.39746,-0.00004
4.80499,1.31586,-0.00004
4.87902,1.23074,-0.00004
4.95304,1.15112,-0.00004
5.02707,1.07665,-0.00004
5.10932,0.99952,-0.00004
5.19158,0.92791,-0.00004
5.27383,0.86143,-0.00004
5.36522,0.79310,-0.00004
5.45661,0.73020,-0.00004
5.54800,0.67228,-0.00004
5.64955,0.61327,-0.00004
5.75110,0.55943,-0.00004
5.86393,0.50511,-0.00004
5.97676,0.45607,-0.00004
6.10212,0.40710,-0.00004
6.22749,0.36340,-0.00004
6.36678,0.32028,-0.00004
6.50608,0.28228,-0.00004
6.66085,0.24529,-0.00004
6.83282,0.20982,-0.00004
7.00479,0.17948,-0.00004
7.19587,0.15085,-0.00004
7.40818,0.12433,-0.00004
7.64408,0.10027,-0.00004
7.90618,0.07892,-0.00004
8.19742,0.06046,-0.00004
8.52101,0.04493,-0.00003
8.88056,0.03229,-0.00003
9.28005,0.02234,-0.00003
9.72394,0.01481,-0.00002
10.21714,0.00937,-0.00002
10.76514,0.00562,-0.00001
11.37404,0.00317,-0.00001
12.05059,0.00167,-0.00000
12.80231,0.00082,-0.00000
13.63756,0.00036,-0.00000
14.56561,0.00015,-0.00000
15.59678,0.00005,-0.00000
16.74252,0.00001,-0.00000
18.01557,0.00000,-0.00000
19.43006,0.00000,-0.00000
21.00173,0.00000,-0.00000
22.74802,0.00000,0.00000
24.68835,0.00000,0.00000
26.84426,0.00000,0.00000
29.23973,0.00000,0.00000
31.90135,0.00000,0.00000
34.85871,0.00000,0.00000
38.14467,0.00000,0.00000
41.79574,0.00000,0.00000
45.85247,0.00000,0.00000
50.35996,0.00000,0.00000
55.36828,0.00000,0.00000
60.93308,0.00000,0.00000
67.11619,0.00000,0.00000
